Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
CRZO,"Carrizo Oil & Gas, Inc.",36.37,"2,368,752,459",n/a,1997,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/crzo
CVE,Cenovus Energy Inc,13.83,"11,523,087,279",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cve
CDEV,"Centennial Resource Development, Inc.",18.6,"4,324,332,042",n/a,2016,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cdev
CDEVW,"Centennial Resource Development, Inc.",7.2,0,n/a,2016,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cdevw
CGG,CGG,10.74,"237,710,020",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cgg
CHK,Chesapeake Energy Corporation,6.92,"6,140,738,046",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/chk
CHKR,Chesapeake Granite Wash Trust,3.15,"147,262,500",n/a,2011,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/chkr
CVX,Chevron Corporation,113.79,"214,809,270,923",n/a,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/cvx
SNP,China Petroleum & Chemical Corporation,80.22,"97,123,324,341",n/a,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/snp
CYD,China Yuchai International Limited,13.88,"545,460,973",n/a,1994,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cyd
XEC,Cimarex Energy Co,139.45,"13,242,754,064",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/xec
CKX,"CKX Lands, Inc.",10.86,"21,095,496",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ckx
CWEI,"Clayton Williams Energy, Inc.",146.14,"2,556,498,044",n/a,1993,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cwei
CLD,Cloud Peak Energy Inc,5.84,"358,901,195",n/a,2009,Energy,Coal Mining,http://www.nasdaq.com/symbol/cld
CEO,CNOOC Limited,126.15,"1,262,672,438",n/a,2001,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ceo
CNXC,CNX Coal Resources LP,19.15,"444,845,365",n/a,2015,Energy,Coal Mining,http://www.nasdaq.com/symbol/cnxc
CIE,"Cobalt International Energy, Inc.",1.12,"493,160,944",n/a,2009,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cie
CRK,"Comstock Resources, Inc.",13.07,"175,864,156",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/crk
CXO,Concho Resources Inc.,144.04,"21,037,162,994",n/a,2007,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cxo
COP,ConocoPhillips,49.43,"61,245,124,827",n/a,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/cop
CNX,CONSOL Energy Inc.,19,"4,359,366,992",n/a,1999,Energy,Coal Mining,http://www.nasdaq.com/symbol/cnx
MCF,Contango Oil & Gas Company,9.1,"229,885,583",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mcf
CLR,"Continental Resources, Inc.",49.89,"18,685,310,381",n/a,2007,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/clr
CLB,Core Laboratories N.V.,116.7,"5,055,689,887",n/a,1995,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/clb
CPG,Crescent Point Energy Corporation,11.92,"6,457,571,697",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cpg
CRT,Cross Timbers Royalty Trust,17.77,"106,620,000",n/a,1992,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/crt
CAPL,CrossAmerica Partners LP,26.78,"897,490,887",n/a,2012,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/capl
CCLP,CSI Compressco LP,12.67,"421,434,304",n/a,2011,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/cclp
CMI,Cummins Inc.,147.14,"24,760,000,568",n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cmi
CVI,CVR Energy Inc.,23.16,"2,011,007,118",n/a,2007,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/cvi
CVRR,"CVR Refining, LP",11.5,"1,697,400,000",n/a,2013,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/cvrr
CELP,"Cypress Energy Partners, L.P.",13.11,"155,462,942",n/a,2014,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/celp
DWSN,Dawson Geophysical Company,8.21,"177,602,735",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/dwsn
DKL,"Delek Logistics Partners, L.P.",34.35,"834,876,303",n/a,2012,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/dkl
DK,"Delek US Holdings, Inc.",23.34,"1,446,028,160",n/a,2006,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/dk
DNR,Denbury Resources Inc.,3.68,"1,466,131,644",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/dnr
DVN,Devon Energy Corporation,46.64,"24,420,704,000",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/dvn
DO,"Diamond Offshore Drilling, Inc.",17.29,"2,371,663,473",n/a,1995,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/do
FANG,"Diamondback Energy, Inc.",106.68,"9,616,554,879",n/a,2012,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/fang
DMLP,"Dorchester Minerals, L.P.",17.8,"546,022,672",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/dmlp
DRQ,"Dril-Quip, Inc.",63.45,"2,384,539,259",n/a,1997,Energy,Metal Fabrications,http://www.nasdaq.com/symbol/drq
ESTE,"Earthstone Energy, Inc.",13.13,"292,656,894",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/este
ECT,ECA Marcellus Trust I,2.8,"49,294,000",n/a,2010,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ect
ECR,Eclipse Resources Corporation,2.35,"612,390,949",n/a,2014,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ecr
EC,Ecopetrol S.A.,9.44,"19,407,079,889",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ec
ESES,"Eco-Stim Energy Solutions, Inc.",1.35,"19,462,581",n/a,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/eses
EMR,Emerson Electric Company,60.14,"38,757,225,586",n/a,n/a,Energy,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/emr
EEQ,Enbridge Energy Management LLC,20.37,"1,667,430,370",n/a,2002,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/eeq
EEP,"Enbridge Energy, L.P.",21.33,"9,262,464,706",n/a,n/a,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/eep
ENB,Enbridge Inc,43.03,"40,582,119,042",n/a,n/a,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/enb
ECA,Encana Corporation,13,"12,648,496,874",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/eca
NDRO,Enduro Royalty Trust,3.85,"127,050,000",n/a,2011,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ndro
EGN,Energen Corporation,53.55,"5,198,277,571",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/egn
ENRJ,"EnerJex Resources, Inc.",0.66,"5,559,798",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/enrj
ERF,Enerplus Corporation,9.06,"2,178,775,337",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/erf
E,ENI S.p.A.,31.54,"57,311,102,654",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/e
ESV,ENSCO plc,11.37,"3,451,335,791",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/esv
