Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
NOG,"Northern Oil and Gas, Inc.",3.65,"230,059,394",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/nog
DNOW,NOW Inc.,22.09,"2,374,099,600",n/a,2014,Energy,Metal Fabrications,http://www.nasdaq.com/symbol/dnow
NS,Nustar Energy L.P.,54.92,"4,310,459,742",n/a,n/a,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/ns
NSH,"Nustar GP Holdings, LLC",30.05,"1,290,083,822",n/a,n/a,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/nsh
NSS,"NuStar Logistics, L.P.",25.85,0,n/a,n/a,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/nss
OAS,Oasis Petroleum Inc.,14.89,"3,519,478,111",n/a,2010,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/oas
OXY,Occidental Petroleum Corporation,68.95,"52,690,796,730",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/oxy
ORIG,Ocean Rig UDW Inc.,1.61,"132,964,830",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/orig
OII,"Oceaneering International, Inc.",28.24,"2,769,357,662",n/a,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/oii
OIS,"Oil States International, Inc.",39.85,"2,047,285,382",n/a,2001,Energy,Metal Fabrications,http://www.nasdaq.com/symbol/ois
ROYT,Pacific Coast Oil Trust,1.21,"46,685,621",n/a,2012,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/royt
PACD,Pacific Drilling S.A.,3.7,"78,377,100",n/a,2011,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/pacd
PHX,Panhandle Royalty Company,21.85,"362,716,468",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/phx
PARR,"Par Pacific Holdings, Inc.",14.48,"658,929,385",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/parr
PKD,Parker Drilling Company,2.65,"331,397,035",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/pkd
PE,"Parsley Energy, Inc.",36.7,"7,618,890,273",n/a,2014,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/pe
PTEN,"Patterson-UTI Energy, Inc.",28.32,"4,194,485,990",n/a,1993,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/pten
PBF,PBF Energy Inc.,23.31,"2,287,708,924",n/a,2012,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/pbf
PBFX,PBF Logistics LP,20,"834,597,880",n/a,2014,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/pbfx
PDCE,"PDC Energy, Inc.",76.33,"5,011,287,002",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/pdce
PED,Pedevco Corp.,0.1058,"5,274,056",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ped
PBA,Pembina Pipeline Corp.,31.29,"12,418,584,342",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/pba
PGH,Pengrowth Energy Corporation,1.3,"712,021,309",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/pgh
PVAC,Penn Virginia Corporation,49.9,"748,101,698",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/pvac
PWE,Penn West Petroleum Ltd,1.8,"904,974,773",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/pwe
PBT,Permian Basin Royalty Trust,9.06,"422,275,692",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/pbt
PZE,Petrobras Argentina S.A.,9.35,"1,887,765,000",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/pze
PTR,PetroChina Company Limited,79.53,"145,556,601,300",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ptr
PBR,Petroleo Brasileiro S.A.- Petrobras,10.79,"70,375,060,937",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/pbr
PQ,Petroquest Energy Inc,4.31,"90,941,000",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/pq
PSX,Phillips 66,82.77,"43,110,771,468",n/a,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/psx
PSXP,Phillips 66 Partners LP,56.14,"5,910,211,033",n/a,2013,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/psxp
PES,Pioneer Energy Services Corp.,6.2,"478,310,817",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/pes
PXD,Pioneer Natural Resources Company,181.46,"30,797,514,048",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/pxd
PAA,"Plains All American Pipeline, L.P.",31.62,"13,057,882,882",n/a,1998,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/paa
PAGP,"Plains Group Holdings, L.P.",32.46,"1,228,334,084",n/a,2013,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/pagp
PLUG,"Plug Power, Inc.",1.12,"202,283,585",n/a,1999,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/plug
PSIX,"Power Solutions International, Inc.",7.44,"80,941,203",n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/psix
PDS,Precision Drilling Corporation,5.8,"1,700,785,376",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/pds
PNRG,PrimeEnergy Corporation,56.5,"129,603,316",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/pnrg
PFIE,"Profire Energy, Inc.",1.28,"68,168,911",n/a,n/a,Energy,Metal Fabrications,http://www.nasdaq.com/symbol/pfie
QEP,"QEP Resources, Inc.",18.16,"4,350,373,026",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/qep
RRC,Range Resources Corporation,35.71,"8,825,558,449",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/rrc
RCON,"Recon Technology, Ltd.",1.37,"8,536,185",n/a,2009,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/rcon
REN           ,Resolute Energy Corporation,47.24,"1,035,983,640",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ren
REXX,Rex Energy Corporation,0.7269,"71,150,509",n/a,2007,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/rexx
RICE,Rice Energy Inc.,21.82,"4,420,541,097",n/a,2014,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/rice
REI,"Ring Energy, Inc.",13.56,"656,874,347",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/rei
RDC,Rowan Companies plc,19.27,"2,417,211,977",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/rdc
RES,"RPC, Inc.",21.65,"4,709,355,825",n/a,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/res
RSPP,"RSP Permian, Inc.",43.21,"6,132,540,318",n/a,2014,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/rspp
SBR,Sabine Royalty Trust,39.05,"569,323,422",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/sbr
SAEX,"SAExploration Holdings, Inc.",6.77,"63,255,583",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/saex
SSN,Samson Oil & Gas Limited,0.6893,"11,083,443",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ssn
SJT,San Juan Basin Royalty Trust,7.77,"362,150,345",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/sjt
SN,Sanchez Energy Corporation,14.24,"1,071,319,501",n/a,2011,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/sn
SPP,Sanchez Production Partners LP,14.35,"190,186,921",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/spp
SD,"SandRidge Energy, Inc.",21.28,"437,847,725",n/a,2016,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/sd
SDT,SandRidge Mississippian Trust I,1.77,"49,560,000",n/a,2011,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/sdt
SDR,SandRidge Mississippian Trust II,1.7,"84,532,500",n/a,2012,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/sdr
PER,SandRidge Permian Trust,3.45,"181,125,000",n/a,2011,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/per
SSL,Sasol Ltd.,30.18,"19,744,603,485",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ssl
SLB,Schlumberger N.V.,84.5,"107,763,898,138",n/a,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/slb
SDRL,Seadrill Limited,2.86,"1,442,710,641",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/sdrl
SDLP,Seadrill Partners LLC,4.35,"399,423,960",n/a,2012,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/sdlp
SEMG,Semgroup Corporation,40.8,"2,696,853,194",n/a,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/semg
SEV,"Sevcon, Inc.",8.8721,"47,394,696",n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/sev
SHLX,"Shell Midstream Partners, L.P.",32.82,"5,819,558,512",n/a,2014,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/shlx
SM,SM Energy Company,34.4,"3,824,599,499",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/sm
SWN,Southwestern Energy Company,9.42,"4,667,169,888",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/swn
SWNC,Southwestern Energy Company,22.93,0,n/a,2015,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/swnc
SRLP,Sprague Resources LP,27.65,"589,327,151",n/a,2013,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/srlp
STO,Statoil ASA,18.83,"60,042,224,949",n/a,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/sto
SGY,Stone Energy Corporation,7.28,"41,425,042",n/a,1993,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/sgy
SU,Suncor Energy  Inc.,31.48,"52,505,921,041",n/a,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/su
SNDE,Sundance Energy Australia Limited,16,"754,384",47149,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/snde
SXL,Sunoco Logistics Partners LP,26.07,"8,641,440,393",n/a,2002,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/sxl
SUN,Sunoco LP,28.48,"3,189,087,872",n/a,2012,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/sun
SDPI,"Superior Drilling Products, Inc.",1.1,"26,505,265",n/a,2014,Energy,Metal Fabrications,http://www.nasdaq.com/symbol/sdpi
SPN,"Superior Energy Services, Inc.",17.32,"2,628,159,801",n/a,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/spn
SYRG,Synergy Resources Corporation,8.6,"1,724,962,922",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/syrg
FTI,TechnipFMC plc,35.3,"7,967,281,553",n/a,n/a,Energy,Metal Fabrications,http://www.nasdaq.com/symbol/fti
TGC,"Tengasco, Inc.",0.63,"3,841,565",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/tgc
TESO,Tesco Corporation,8.6,"399,073,867",n/a,n/a,Energy,Metal Fabrications,http://www.nasdaq.com/symbol/teso
TSO,Tesoro Corporation,82.02,"9,587,978,963",n/a,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/tso
TLLP,Tesoro Logistics LP,58.69,"5,992,016,529",n/a,2011,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/tllp
TTI,"Tetra Technologies, Inc.",4.9,"563,476,843",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/tti
TPL,Texas Pacific Land Trust,321.99,"2,553,309,862",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/tpl
THR,"Thermon Group Holdings, Inc.",20.91,"675,955,709",n/a,2011,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/thr
TRCH,"Torchlight Energy Resources, Inc.",1.82,"98,437,907",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/trch
TOT,"TotalFinaElf, S.A.",50.4,"120,612,687,955",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/tot
TPIC,"TPI Composites, Inc.",18.79,"633,915,656",n/a,2016,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/tpic
TAT,Transatlantic Petroleum Ltd,1.18,"55,719,724",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/tat
TGA,Transglobe Energy Corp,1.75,"126,359,396",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/tga
TLP,TransMontaigne Partners L.P.,47.07,"759,577,957",n/a,2005,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/tlp
RIG,Transocean Ltd.,14.9,"5,800,432,190",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/rig
TREC,Trecora Resources,12.55,"307,560,917",n/a,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/trec
TPLM,Triangle Petroleum Corporation,0.2725,"20,860,467",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/tplm
USEG,U.S. Energy Corp.,1.17,"7,177,372",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/useg
UNT,Unit Corporation,27.34,"1,407,649,604",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/unt
EGY,Vaalco Energy Inc,1.23,"72,119,743",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/egy
VLO,Valero Energy Corporation,67.31,"30,468,864,928",n/a,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/vlo
VLP,Valero Energy Partners LP,49.15,"3,310,486,749",n/a,2013,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/vlp
VNR,Vanguard Natural Resources LLC,1,"131,024,208",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/vnr
VNRAP,Vanguard Natural Resources LLC,3.76,0,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/vnrap
VNRBP,Vanguard Natural Resources LLC,3.54,"24,780,000",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/vnrbp
VNRCP,Vanguard Natural Resources LLC,3.76,0,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/vnrcp
VET,Vermilion Energy Inc.,41.13,"4,852,822,996",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/vet
VTNR,"Vertex Energy, Inc",1.52,"50,390,114",n/a,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/vtnr
VNOM,Viper Energy Partners LP,16.16,"1,418,853,753",n/a,2014,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/vnom
VOC,VOC Energy Trust,3.72,"63,240,000",n/a,2011,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/voc
VTTI,VTTI Energy Partners LP,18.55,"746,637,500",n/a,2014,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/vtti
WTI,"W&T Offshore, Inc.",3.05,"418,102,613",n/a,2005,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/wti
WFT,Weatherford International plc,5.26,"5,164,149,224",n/a,n/a,Energy,Metal Fabrications,http://www.nasdaq.com/symbol/wft
WNRL,"Western Refining Logistics, LP",23.95,"1,458,203,510",n/a,2013,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/wnrl
WNR,"Western Refining, Inc.",35.42,"3,840,605,547",n/a,2006,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/wnr
WLB,Westmoreland Coal Company,18.45,"342,628,345",n/a,n/a,Energy,Coal Mining,http://www.nasdaq.com/symbol/wlb
WMLP,"Westmoreland Resource Partners, LP",5.55,"6,776,883",n/a,2015,Energy,Coal Mining,http://www.nasdaq.com/symbol/wmlp
WPRT,Westport Fuel Systems Inc,1.32,"144,388,597",n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/wprt
WLL,Whiting Petroleum Corporation,11.5,"3,269,955,805",n/a,2003,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/wll
WRD,WildHorse Resource Development Corporation,14.3,"1,732,076,160",n/a,2016,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/wrd
WG,"Willbros Group, Inc.",3.27,"204,797,854",n/a,1996,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/wg
WWD,"Woodward, Inc.",70,"4,320,742,510",n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/wwd
INT,World Fuel Services Corporation,44.39,"3,127,808,180",n/a,n/a,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/int
WPT,"World Point Terminals, LP",17.2,"599,609,441",n/a,2013,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/wpt
WPX,"WPX Energy, Inc.",14.28,"4,918,914,647",n/a,2011,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/wpx
WPXP,"WPX Energy, Inc.",63.77,0,n/a,2015,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/wpxp
YZC,Yanzhou Coal Mining Company Limited,7.76,"3,816,678,400",n/a,1998,Energy,Coal Mining,http://www.nasdaq.com/symbol/yzc
YPF,YPF Sociedad Anonima,22.03,"8,664,680,830",n/a,1993,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/ypf
YUMA,"Yuma Energy, Inc.",2.83,"34,528,830",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/yuma
ZN,Zion Oil & Gas Inc,1.27,"52,602,528",n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/zn
ZNWAA,Zion Oil & Gas Inc,n/a,0,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/znwaa
